"INSURANCE","Insurance ",
"EXECUTIVE ORDERS ON LINE","Legal Issues",
"EXCESS OF TAX LIENS BACK TO TAXPAYE","Legal Issues",
"EXCEPTIONS FOR VIETNAM CONFLICT VET","Military","Legal Issues "
"EXAMINE LOW COST POWER FROM QUEBEC","Energy",
"EXAMINATION OF CHILD EXPLOITATION M","Family and Children Issues",
"ETHANOL FREE SALES ALLOWED","Environmental",
"EQUITY AS GOAL","Legal Issues",
"EQUITY","Legal Issues",
"EQUITABLE","Legal Issues",
"ENHANCED, CHILDREN UNDER FOUR","Family and Children Issues",
"ENHANCED, ABUSE BY RELATIVES","Family and Children Issues",
"ENERGY INSTALLATION PROPERTY TAX ST","Energy",
"ENERGY EFFICIENT SCHOOL AND MUNICIP","Energy",
"ENERGY EFFICIENT APPLIANCES","Energy",
"ENERGY EFFICIENCY STANDARDS","Energy",
"ENERGY EFFICIENCY INVESTMENTS","Energy",
"ENERGY EFFICIENCY AT RESIDENTIAL CA","Energy",
"ENERGY CONSERVATION","Energy",
"EMPLOYMENT SERVICES FOR INTELLECTUA","Labor and Employment",
"EMPLOYER CONTRIBUTION","Labor and Employment",
"EMAIL HOSTED BY GOOGLE","Technology and Communication",
"EMAIL ADDRESSES","Technology and Communication",
"ELIMINATE SAT REQUIREMENT","Education",
"ELECTRONICS","Technology and Communication",
"ELECTRONIC WARRANTS SYSTEM","Technology and Communication",
"ELECTRONIC TRACKING SYS IF VIOLATED","Technology and Communication",
"ELECTRONIC PRESCRIBING DEVICES","Technology and Communication",
"ELECTRONIC DEATH REGISTRATION SYSTE","Technology and Communication",
"ELECTRONIC BENEFIT CARDS","Technology and Communication",
"ELECTED OFFICIALS","Campaign Finance and Election Issues ",
"ELECTED BY MAJORITY VOTE","Campaign Finance and Election Issues ",
"ELDERLY EXEMPTION","Senior Issues ",
"ELDERLY","Senior Issues ",
"ELDER FUND ESTABLISHED","Senior Issues ",
"EDUCATIONAL LOAN AUTHORITY","Education",
"EDUCATION TO PUBLIC ON HYGIENE","Education",
"EDUCATION OPPORTUNITY","Education",
"EDUCATION FUNDS","Education",
"EDUCATION FUNDING DISTRIBUTION TASK","Education",
"EDUCATION AND REHAB NEED OF BLIND P","Education",
"EDUCATION ACCESS FUND","Education",
"EBT MAY BE USED AT FARMERS MARKETS","Agriculture and Food ",
"EASTPORT TO SELL BOAT SCHOOL PROPER","Education",
"EASEMENTS ACROSS RAIL TRAILS","Transportation",
"EASEMENT TO DEAD RIVER","Environmental",
"EARNED INCOME TAX CREDIT","Budget, Spending, and Taxes",
"EARLY EDUCATION","Education",
"EARLY CHILDHOOD SYSTEM","Family and Children Issues",
"DUTIES TRANSFER TO ATTORNEY GENERAL","Legal Issues",
"DUMPING PENALTIES","Environmental",
"DUE PROCESS HEARINGS STATUTE OF LIM","Legal Issues",
"DUAL CERTIFICATION ELIMINATED","Education",
"DRUGS IN CLINICAL TRIALS COVERAGE","Drugs ",
"DRUGS","Drugs ",
"DRUG TESTS FOR RECIPIENTS","Drugs ",
"DRUG TESTING","Drugs ",
"DRIVING WITH SNOW AND ICE ON VEHICL","Transportation",
"DRIVER EDUCATION TEACHERS","Transportation","Education"
"DOMESTIC VIOLENCE","Family and Children Issues",
"DOG TRAINING DURING HUNTING SEASON","Animal Rights and Wildlife Issues ",
"DOG ON LAP WHILE DRIVING ILLEGAL","Transportation","Legal Issues "
"DOE PERMITS TRANSFER IN FAMILIES","Family and Children Issues",
"DNA TESTING REQUIRED","Health",
"DIVORCE","Family and Children Issues",
"DISTRICT ATTORNEYS","Legal Issues",
"DISTRIBUTION OF FEDERAL EDUCATION A","Education",
"DISTANCE LEARNING IN RURAL AREAS ST","Education",
"DISPOSAL OF MEDICAL SHARPS","Health",
"DISPOSAL AND RECYCLING FEES","Environmental",
"DISBURSEMENT OF STATE FUNDS","Budget, Spending, and Taxes",
"DISABILITY PLATES AND PLACARDS","Transportation",
"DISABILITY PLATE RENEWAL","Transportation",
"DIRIGO HEALTH PROGRAM REFORM","Health",
"DIRECTED BY HEALTH INFO MANAGEMENT","Health",
"DIRECT CARE WORKERS TRAINING AND CR","Health",
"DIG SAFE STANDARD","Labor and Employment",
"DIESEL FUEL TAX USED IN FISHING VES","Energy","Budget, Spending, and Taxes "
"DEPLOYMENT ISSUES","Military",
"DEPLOYMENT","Military",
"DENTURISTS INCLUDED","Health",
"DENTISTS","Health",
"DENTAL SCHOOL FACULTY","Health",
"DENTAL IMAGING SAFETY","Health",
"DENTAL HYGIENE DISTANCE LEARNING","Health",
"DENTAL HEALTH LOAN PROGRAM","Health",
"DENTAL COMPLAINT REVIEW PANEL","Health",
"DENTAL CARE REIMBURSEMENT RATES","Health",
"DENTAL BOARD PRACTICES ACT REVISED","Health",
"DENTAL ADJUDICATORY PANEL","Health",
"DEMENTIA TRAINING","Health",
"DEFINITION, FEDERAL CONFORMITY","Federal, State, and Local Relations ",
"DEFIBRILLATORS AT HEALTH CLUBS","Health",
"DEFAULT, JUDICIAL OPTIONS","Judiciary ",
"DEER PREDATION","Animal Rights and Wildlife Issues ",
"DEER HUNT EARLY ALLOWED","Animal Rights and Wildlife Issues ",
"DEED RESTRICTIONS","Housing and Property",
"DECLINE IN NONRESIDENT HUNTERS TASK","Animal Rights and Wildlife Issues ",
"DECISIONS CONCERNING ADULT CHILDREN","Family and Children Issues",
"DATA CENTERS JOB RETENTION","Labor and Employment",
"DANGERS OF DRUNK DRIVING INCLUDED","Transportation",
"DAIRY STABILIZATION PROG","Agriculture and Food ","Animal Rights and Wildlife Issues"
"CYBERBULLYING PROHIBITED","Technology and Communication",
"CUMBERLAND COUNTY, EDUCATIONAL SERV","Education",
"CULTURAL SERVICES","Arts and Humanities",
"CROSS BOWS ALLOWED","Animal Rights and Wildlife Issues ",
"CROSS BOW HUNTING","Animal Rights and Wildlife Issues ",
"CRIMINAL HISTORY RECORDS","Crime",
"CREDIT REPORTING FOR PATIENTS","Commerce",
"CREDIT REPORTING","Commerce",
"CREDIT RATINGS USE DISCLOSURE","Commerce",
"CREDIT CARDS","Commerce",
"CREDIT CARD TRANSACTION FEES","Commerce",
"CREDIT BUREAUS","Commerce",
"CREDIT ALLOWED ON ELECTRIC CARS","Transportation",
"CRABS","Animal Rights and Wildlife Issues ","Agriculture and Food "
"CPR AND AED USE","Health",
"COYOTES AT NIGHT","Animal Rights and Wildlife Issues ",
"COYOTE SNARING PROGRAM","Animal Rights and Wildlife Issues ",
"COURSES FOR BUSINESS NEEDS","Business and Consumers ",
"COUNTY JAILS","Crime",
"COSTLY RULES TO BE APPROVED BY LEGI","Legislative Affairs ",
"CORRECTIONAL INSTITUTIONS","Crime ",
"CORRECTION OF BRIDGE NAMED OVER PAT","Transportation",
"CORPORATE POLITICAL DONATIONS","Campaign Finance and Election Issues ",
"COPIES OF DEATH CERTIFICATES TO PER","Health",
"COORDINATION OF STATE AND COUNTY SE","Federal, State, and Local Relations ",
"CONVENTION CENTER IN CUMBERLAND COU","Municipal and County Issues ",
"CONTROLLED ACCESS HIGHWAYS","Transportation",
"CONTRACTORS HIRE MAINE CITIZENS","Labor and Employment",
"CONSTITUTION OF MAINE","Government Reform ",
"CONSOLIDATED LICENSES FROM AG / DPS","Legal Issues",
"CONSENT FOR TREATMENT PROCESS","Health",
"CONNECTOR BETWEEN SANFORD AND TURNP","Transportation",
"CONFIDENTIALITY OF LICENSE INFORMAT","Legal Issues",
"CONFIDENTIAL RECORDS OF COMMISSION","Legal Issues",
"CONDOMINIUMS","Housing and Property",
"COMPREHENSIVE PLAN INCLUDES TRANSIT","Transportation",
"COMPARATIVE NEGLIGENCE","Legal Issues",
"COMPACT BETWEEN STATE AND MUNICIPAL","Federal, State, and Local Relations ",
"COMMUNITY WIND STUDY","Energy",
"COMMUNITY SERVICE COMMISSION","Municipal and County Issues ",
"COMMUNITY RATING","Municipal and County Issues ",
"COMMUNITY INTEGRATION","Municipal and County Issues ",
"COMMUNITY FESTIVAL EVENTS","Municipal and County Issues ","Recreation"
"COMMUNITY BENEFITS PACKAGE","Municipal and County Issues ",
"COMMUNITY BASED","Municipal and County Issues ",
"COMMERCIAL FISHING SAFETY COUNCIL","Animal Rights and Wildlife Issues ",
"COMMERCIAL FARMING, FISHING, FOREST","Agriculture and Food ",
"COMMERCIAL CUSTOMER CREDIT HISTORY","Commerce",
"COLLISION RATE FOR STUDENTS","Transportation",
"COASTAL DUNES RULE REVIEW","Environmental",
"COASTAL AREAS","Environmental",
"COASTAL ACTIVITIES","Environmental",
"CNA RECERTIFICATION","Health",
"CLINICS","Health",
"CLEAN ELECTIONS, UNENROLLED CANDIDA","Campaign Finance and Election Issues ",
"CLEAN ELECTIONS, EQUIPMENT REPURCHA","Campaign Finance and Election Issues ",
"CLEAN ELECTION, UNOPPOSED IN PRIMAR","Campaign Finance and Election Issues ",
"CLEAN ELECTION, FUNDING REDUCED","Campaign Finance and Election Issues ",
"CLEAN ELECTION LAW","Campaign Finance and Election Issues ",
"CLEAN ELECTION ACT REPEAL","Campaign Finance and Election Issues ",
"CLAMS","Legal Issues",
"CLAIMS PROCESSING","Legal Issues",
"CLAIMS AGAINST THE STATE","Legal Issues",
"CLAIMS AGAINST PUBLIC OFFICIALS","Legal Issues",
"CLAIMS AGAINST DISSOLVED","Legal Issues",
"CLAIMS ABOUT RECEIPT OF MILITARY AW","Military","Legal Issues "
"CIVIL ORDERS OF ARREST","Crime",
"CITIZEN TRADE POLICY COMMISSION","Trade ",
"CIGARETTE TAX","Budget, Spending, and Taxes",
"CHOKING","Health",
"CHIMNEY LINING REQUIREMENT","Environmental",
"CHILDRENS PRODUCTS CADMIUM FREE","Health","Family and Children Issues"
"CHILD PROTECTION, INTERNET PREDATOR","Family and Children Issues","Technology and Communication"
"CHILD CUSTODY","Family and Children Issues",
"CHARTER SCHOOLS","Education",
"CHARGE FOR WINE TASTINGS BY FARMS","Agriculture and Food ",
"CERTIFIED PLANS TIMETABLE","Legal Issues",
"CERTIFICATION BY SECRETARY OF STATE","Legal Issues",
"CERTIFICATES ON LINE","Education",
"CERTAIN ELIMINATED FOR BUSINESS","Business and Consumers ",
"CENTERS STAFF RATIO","Labor and Employment",
"CELLULAR PHONES","Technology and Communication",
"CAREER AND TECHNICAL ED REGION 3 TO","Education","Labor and Employment "
"CAPTIVE INSURERS","Insurance ",
"CANDIDATES RECOMMENDED BY ARCHIVES","Nominations ",
"CANCER SCREENING AND DETECTION","Health",
"CANCER","Health",
"CANADIAN REGISTERED DRIVERS","Transportation",
"CAMERAS IN SCHOOL BUSES AS ENFORCEM","Education","Transportation"
"BUSINESS EQUIPMENT TAX REMOVED","Budget, Spending, and Taxes","Business and Consumers"
"BUS TRIPS ALL ROUND TRIPS","Transportation",
"BUS REGISTERED AS ANTIQUE","Transportation",
"BURNING OF DEMOLITION DEBRIS PROHIB","Legal Issues","Environmental"
"BULLYING AND CYBERBULLING PROHIBITE","Technology and Communication",
"BULK SALES OF SEAFOOD WORLDWIDE","Agriculture and Food ",
"BUILDING INSPECTIONS","Housing and Property",
"BUILDING CONTRACTORS","Housing and Property",
"BUDGETS","Budget, Spending, and Taxes",
"BUDGET DISCLOSURE","Budget, Spending, and Taxes",
"BREACH OF WARRANTY COVENANT","Legal Issues",
"BOXING AND PRIZE FIGHTING","Recreation",
"BONDING OF TIMBER HARVESTERS","Labor and Employment",
"BOILER TECHNICIANS","Labor and Employment",
"BODY TRANSPORT FEE PAID TO FUNERAL","Transportation",
"BOATS AND VEHICLES PROHIBITED ON HA","Transportation",
"BOATING SAFETY COURSE","Transportation",
"BOATING DISCHARGES","Transportation",
"BOAT LAUNCH PROGRAMS IN CONSERVATIO","Transportation",
"BOARD OF PESTICIDE CONTROL","Health","Environmental"
"BLUE LAWS REPEALED","Legal Issues",
"BLOOD TYPE INCLUDED ON LICENSES","Health","Transportation"
"BIRDS","Animal Rights and Wildlife Issues ",
"BICYCLES","Transportation",
"BEHAVIORAL HEALTH CARE PROVIDERS","Health",
"BEER AND WINE AT FARMERS MARKETS","Agriculture and Food ",
"BEACHES","Environmental",
"BASS","Animal Rights and Wildlife Issues ",
"BANKRUPTCY EXEMPTIONS","Commerce",
"BANKING CODE","Commerce",
"BANGOR AUDITORIUM AND CIVIC CENTER","Public Services","Recreation"
"BALANCED BUDGET","Budget, Spending, and Taxes",
"BAGS FOR RETURNABLE CONTAINERS","Environmental",
"BAD CHECKS","Commerce",
"BACKGROUND CHECKS","Labor and Employment",
"AVIATION, TAX REMOVED","Budget, Spending, and Taxes",
"AUTOPSY IN CASE OF DEATH","Health",
"ATTORNEYS FEES","Legal Issues",
"ATTORNEYS AT IEP","Legal Issues",
"ATTORNEYS","Legal Issues",
"ATHLETIC COMMISSION","Recreation",
"AT RISK STUDENT GRANT PROGRAM","Education",
"ASSIST DISABLED ELIGIBLE FOR SS ASS","Health",
"ASSAULT AGAINST UNBORN CHILD","Family and Children Issues",
"ASPIRE PROGRAM, PRIVATE SCHOOLS TOO","Education",
"ARCHIVES","Arts and Humanities",
"ARBORIST ADVISORY COUNCIL","Environmental",
"ARBITRATION ACT","Government Reform ",
"AQUACULTURE LAWS REVISED","Environmental","Legal Issues "
"APPROVAL TO RAISE SMALL GRP HEALTH","Health",
"APPRENTICESHIP COMPLETED, WAITING L","Labor and Employment",
"APPRENTICESHIP","Labor and Employment",
"APPOINTMENTS AND TERMS","Labor and Employment",
"APPOINTED BY STATE BOARD OF EDUCATI","Education",
"APPLY FEDERAL LAW","Federal, State, and Local Relations ","Legal Issues "
"APPLICATION TO COLLEGE","Education",
"APPEALS OF INDIGENT LEGAL SERVICES","Legal Issues",
"ANTERLESS DEER","Animal Rights and Wildlife Issues ",
"ANSON WATER DISTRICT","Environmental",
"ANSON MADISON WATER DISTRICT","Environmental",
"ANNUAL TESTING OF UST","Environmental",
"ANIMAL AND PLANT DIAGNOSTIC FACILIT","Animal Rights and Wildlife Issues ","Environmental"
"AMOUNTS OWED TO HOSPITALS","Health",
"ALZHEIMERS DISEASE","Health",
"ALTERNATIVE MINIMUM TAX REPEAL","Budget, Spending, and Taxes",
"ALTERNATIVE ENERGY IMPROVEMENTS","Energy",
"ALTERNATIVE CURRICULUM","Education",
"ALLOCATIONS YEAR 2012","Budget, Spending, and Taxes",
"ALL TERRAIN VEHICLE ENFORCEMENT","Transportation",
"ALCOHOL TAXES","Budget, Spending, and Taxes",
"AIRPORTS","Transportation",
"AIR SERVICE","Environmental",
"AIR QUALITY","Environmental",
"AIDS","Health",
"AGRICULTURAL WORKING DOG","Agriculture and Food ",
"AGRICULTURAL","Agriculture and Food ",
"AGE LIMIT ADJUSTED TO PROTECT MINOR","Family and Children Issues",
"ADVOCACY, DISABILITY RIGHTS CENTER","Health",
"ADVANCED PLACEMENT PROGRAM FUNDING","Education",
"ADULT MENTAL HEALTH SERVICES DIRECT","Health",
"ADOPTION ON LOCAL LEVEL","Family and Children Issues",
"ADDITIVES IN GAS TASK FORCE","Transportation",
"ACCESS TO PUBLIC SCHOOL PROGRAMS","Education",
"ACCESS TO PAIN MEDICATION","Health",
"ACCESS TO EASTERN RD, SCARBOROUGH","Transportation",
"ACCEPTED BUSINESS PRACTICES","Business and Consumers ",
"ABUSE REGISTRY ESTABLISHED","Crime",
"ABSENT VOTING","Campaign Finance and Election Issues ",
"ABATEMENTS","Legal Issues",
"ABATEMENT DISPUTE RESOLUTION","Labor and Employment",
"ABANDONED PROPERTY","Housing and Property",
"90 DAY RESIDENCY REQUIRMENT","Housing and Property",
"60 MONTH LIFETIME MAX ON BENEFITS","Health",
"5-YEAR STATUTE OF LIMITATIONS","Legal Issues",
"4901K PLAN FOR SMALL BUSINESS","Business and Consumers ",
"4 DAY SCHOOL WEEK","Education",
"100TH ANNIVERSARY OF PRESIDENT REAG","Resolutions ",
